IMPORTANT: Structure 2011 Speaker Information Request,Publish,Photo Ready?,List on front page?,Gender,First Name,Last Name,Title,Company,Tagline,Order (front page),Order (speaker page),Type (default: speaker),Bio Ready?,Biography,Featured,Short Desc,timestamp,P Twitter,P Facebook,P LinkedIn,
y,y,y,y,m,Jeffrey,Dean,Google Fellow,Google,"Google Fellow, Google",6,,Speaker,y,"Jeff joined Google in 1999 and is currently a Google Fellow in Google's Search and Knowledge Group. He co-developed the MapReduce computational framework, and is a co-designer and co-implementor of heavily-used distributed storage systems, including BigTable and Spanner. He co-designed and helped implement five generations of Google's crawling, indexing, and query serving systems, as well as major pieces of Google's initial advertising and AdSense for Content systems. He has worked on infrastructure for products such as Google Translate and Google News, as well as designing and implementing many of Google's low-level software libraries and developer tools. He is currently working on large-scale machine learning systems for vision, speech recognition and natural language understanding.",y,,,,,,
y,y,y,y,m,Matt,DeBergalis,Founder,Meteor Development Group,"Founder, Meteor Development Group",,,Speaker,y,"Matt DeBergalis cofounded the Meteor project and is the COO of Meteor Development Group. Before Meteor, Matt founded and ran ActBlue, the largest political fundraising platform in the world. ActBlue has raised more than a quarter of a billion dollars for candidates and organizations. His earlier technical credits include work on the NFSv4 and DAFS specifications while at Network Appliance, and contributions to the NetBSD kernel. Matt holds master's and bachelor's degrees from MIT.",,,,@debergalis,,,
y,y,y,y,m,Gaurav,Dhillon,Chairman and CEO,SnapLogic,"Chairman and CEO, SnapLogic",,,Speaker,y,"Gaurav Dhillon is the CEO of SnapLogic, which offers the market leading enterprise cloud integration product, and counts some of the leading companies in the Global 2000 as customers. SnapLogic helps these companies connect enterprise applications to the cloud for improved business agility and faster decision-making. Gaurav has spearheaded the rapid growth of the company since he joined as CEO in 2009 after seeing the tremendous potential in the company’s products, strategy and unique business model. Previously, Gaurav co-founded and served as CEO of Informatica (Nasdaq; INFA), which he led for more than twelve years – from a startup idea in 1992 to a public company and a leader in the data integration vision he pioneered for enterprise software.",,,,@gdhillon,,http://www.linkedin.com/pub/gaurav-dhillon/1/406/488,
y,y,y,y,m,Scott,Dietzen,CEO,Pure Storage,"CEO, Pure Storage",,,Speaker,y,"Scott Dietzen is a three-time successful entrepreneur with WebLogic, Zimbra, and Transarc. Prior to Pure Storage, he served as President and CTO of Zimbra (now part of VMware), which was originally acquired by Yahoo!, where Dietzen served as interim SVP of Communications and Communities. Prior to Zimbra, Dietzen was CTO of BEA Systems. Dietzen came to BEA in 1998 via the acquisition of WebLogic, an innovator in Java and web application server technology. Prior to WebLogic, he was Principal Technologist of Transarc (acquired by IBM), a developer of distributed transaction and file sharing systems. He earned his Ph.D. and M.S. in Computer Science, and B.S. in Applied Mathematics and Computer Science from Carnegie Mellon University. Dietzen currently serves on the board of Cloudera.",y,The CEO of Pure Storage is a three-time successful entrepreneur – he hit it out of the park with Zimbra and Weblogic. Will he do the same with Pure Storage?,,@scott_dietzen,https://www.facebook.com/scott.dietzen,http://www.linkedin.com/in/scottdietzen,
y,y,y,y,m,John,Engates,CTO,Rackspace,"CTO, Rackspace",,,Speaker,y,"John Engates joined Rackspace in 2000 as VP of Operations, managing the datacenter operations and customer-service teams. Later, when Rackspace decided to add new services for larger enterprise customers, John created and helped develop the Intensive Hosting business unit. Most recently, John has played an active role in the evolution and evangelism of Rackspace's cloud-computing strategy. He meets frequently with customers to hear about their needs and concerns, and to discuss Rackspace's vision for the future of cloud computing. John currently serves as Chief Technology Officer. John is also an internationally recognized cloud computing expert and a sought-after speaker. Prior to joining Rackspace, John was a founder and GM at Internet Direct. He is a graduate of the UTSA and holds a B.B.A. in Accounting.",,,,,,,
y,y,y,y,m,Andrew ,Feldman,GM and Corporate VP,AMD,"GM and Corporate VP, AMD",,,Speaker,y,"Andrew Feldman is corporate vice president and general manager of AMD’s Server Business Unit. In this role, he oversees the strategy and roadmaps for AMD’s SeaMicro and AMD Opteron processors. Feldman came to AMD in 2012 via AMD’s acquisition of SeaMicro, where he was a co-founder and the CEO from inception to its successful acquisition by AMD. Prior to co-founding SeaMicro in 2007, Feldman was an entrepreneur in residence at Crosslink Capital and at US Venture Partners. Before that, he was vice president of Marketing and Product Management at Force10 Networks as well as vice president of Corporate Marketing and Corporate Development for Riverstone Networks (acquired by Alcatel). He holds an MBA and bachelor’s degree from Stanford University. ",,,,,,,
y,y,y,y,m,Eric,Frenkiel,CEO,MemSQL,"CEO, MemSQL",,,Speaker,y,"Eric Frenkiel co-founded MemSQL and has served as CEO since its inception, growing the company from a two-person team to a recognized leader in real-time analytics. Before MemSQL, Eric worked at Facebook on partnership development evangelizing the Facebook platform. He has worked in various engineering and sales engineering capacities at both consumer and enterprise startups. Eric is a graduate of Stanford University's School of Engineering. In 2011 and 2012, Eric was named to Forbes’ 30 under 30 list of technology innovators.",y,,,@ericfrenkiel,,,
y,y,y,y,m,Pat,Gelsinger,CEO,VMware,"CEO, VMware",2,,Speaker,y,"Pat Gelsinger joined VMware in 2012, bringing more than 30 years of technology and leadership experience. Most recently, Gelsinger led EMC’s Information Infrastructure Products business as president and COO. Gelsinger spent 30 years in numerous technical, management and executive roles at Intel. He led Intel’s Digital Enterprise Group as senior vice president and co-general manager, and he also led the Desktop Products Group. He earned an associate's degree from Lincoln Technical Institute in 1979, a bachelor's degree from Santa Clara University in 1983 (magna cum laude) and a master's degree from Stanford University in 1985, all in electrical engineering. In 2008 he was named a Fellow of the IEEE and awarded an Honorary Doctorate of Letters in 2008 from William Jessup University.",y,"Pat Gelsinger joined VMware as CEO in 2012, bringing more than 30 years of technology and leadership experience. When industry legend takes the reins at industry leader VMware, what happens next?",,@VMware,,,
y,y,y,y,m,David,Giambruno,SVP and CIO,Revlon,"SVP and CIO, Revlon",5,,Speaker,y,"Mr. Giambruno is responsible for driving global technology capabilities to provide competitive advantages to the company’s business units and shareholders. Prior to Revlon, Mr. Giambruno was Director of Global Engineering, Security & Deployment for Pitney Bowes, Inc. where he built global engineering and security capabilities to managed FDIC, PCI, HIPPA, and SOX compliance. He has also held diverse and global positions, including CTO of venture capital firm, Selway Partners, Founder and CTO of leading web services companies, such as Econium, Inc., and turn around CEO for Milestone Software Systems. He graduated from S.U.N.Y Buffalo with a B.A. in Communications and a minor in Public Relations.",y,,,@dgiambruno,https://www.facebook.com/david.giambruno,http://www.linkedin.com/pub/david-giambruno/0/142/617,
y,y,y,y,f,Farah,Giga,Entrepreneur in Residence,Data Collective Venture Capital (DCVC),"Entrepreneur in Residence, Data Collective Venture Capital (DCVC)",,,Speaker,y,"Farah is currently Entrepreneur in Residence at DCVC. Prior to that she was a VC at Amplify Partners, helping launch the new enterprise seed fund. Farah focused on similar investments at Valhalla Partners. At both funds, she worked closely with technical founders - many fondly refer to her as their “co-founder without equity.” Before her career in venture, Farah cut her teeth at two of the largest incumbents in enterprise software: HP and Hitachi Data Systems. Starting as a developer, she then held roles as a software architect, product marketing, and M&A, most notably 3PAR ($2.4B). Farah holds three degrees from Stanford University. Much to her Indian parents' chagrin, she dropped out of her PhD at Stanford to pursue the Silicon Valley dream of entrepreneurship.",,,,@FGigabyte,,http://www.linkedin.com/in/farahgiga,
