Publish?,Logo Ready?,Slug,Name,Order,Tagline,Type,URL,Description,,Media Partner URL
,,,,,,,,,,http://event.gigaom.com/structuredata/sponsors/media-partners/
yes,yes,emc,EMC,,,headline,http://www.emc.com/bigdata,,,
yes,yes,magnify,Magnify Communications,,,management,http://www.magnifycom.com/,,,
yes,yes,bigdatacloud,Big Data Cloud,1,,mediapartner,http://www.bigdatacloud.com/,"- Blogs and Monthly Meet-ups to help, educate and de-mystify ""Big Data” & “Cloud Computing” technologies to businesses, professionals & individuals. For more information, visit www.bigdatacloud.com",,
yes,yes,cloudtimes,CloudTimes,2,,mediapartner,http://www.cloudtimes.org,"is a leading technology media property, dedicated to providing knowledge, research and breaking news on the Cloud. Leading publications have declared CloudTimes one the most influential online news outlet and a must-read site. It hosts the largest research database on the web, featuring free white papers, webinars and articles from leading IT companies. For more information, visit www.cloudtimes.org",,
yes,yes,datanami,Datanami,3,,mediapartner,http://www.www.datanami.com," is a news portal dedicated to providing insight, analysis and up-to-the-minute information about emerging trends and solutions in big data. The portal sheds light on all cutting edge technologies including networking, storage and applications, and their effect upon business, industry, government, and research. The publication examines the avalanche of unprecedented amounts of data and the impact the high-end data explosion is having across the IT, enterprise, and commercial markets. Subscribe now at: www.datanami.com/xs/register",,
yes,yes,insidebigdata,inside-BigData,4,,mediapartner,http://inside-bigdata.com/about/,", founded on August 28, 2011, is a news outlet that distills news and events in the world of Big Data Analytics and presents them in bite-sized nuggets of helpfulness as a resource for IT professionals. As one reader said, we’re reading the news so you don’t have to! For more inforamtion, visit http://inside-bigdata.com/about/",,
yes,yes,vlab,MIT/Stanford Venture Lab (VLAB),5,,mediapartner,http://www.vlab.org/,"is a non-profit organization promoting the growth and success of high-tech entrepreneurial ventures by connecting ideas, technology and people. We provide a forum for entrepreneurs, industry experts, venture capitalists, private investors and technologists to exchange insights about how to effectively grow high-tech ventures amidst dynamic challenges. For more information, visit www.vlab.org",,
yes,yes,nosqlweekly,NoSQL Weekly,6,,mediapartner,http://www.nosqlweekly.com/,"is a FREE weekly newsletter featuring curated news, articles, new releases, tools and software, events, jobs etc related to NoSQL and Big Data. It's is the best way to keep up-to-date with what's happening in NoSQL and Big Data world.",,
yes,yes,parisoma,pariSoma,7,,mediapartner,http://www.pariSoma.com,"is a collaborative place for coworking and events in the SoMa district of San Francisco. We host events for entrepreneurs, startups and independent professionals while providing an innovative coworking space through which we seek to promote the growth of collective intelligence and innovation. For more information, visit www.pariSoma.com",,
yes,yes,techcentralsf,TechCentralSF,8,,mediapartner,http://www.techcentralsf.com/,"San Francisco’s exclusive online directory resource and collaborative community for High Tech, Biotech, and Cleantech with over 1,000 start-up companies and established innovators making breakthroughs across San Francisco. TechCentralSF is a B2B exchange to support entrepreneurs, startups & the SF tech ecosystem. Collaborate and find extraordinary business opportunities for “All Things Tech in SF”!",,
yes,yes,tec2,Technology Evaluation Centers (TEC),9,,mediapartner,http://www.technologyevaluation.com/," helps organizations choose the best enterprise software solutions for their unique needs—quickly and cost effectively. With detailed information on over 1,000 solutions in the world’s largest vendor database, TEC delivers a broad range of evaluation and selection resources to help ensure successful software selection projects.",,
yes,yes,tec,The Entrepreneurs Club ,10,,mediapartner,http://www.tecglobal.org/,"(formerly CoolTech Club) is a strong international multi-ethnic network of several thousand high-tech entrepreneurs, executives and other professionals started in 2003. Our members speak English, Russian, Hebrew and many European languages. We are headquartered in the Silicon Valley and hold regular meetings in Palo Alto, San Francisco, New York, Tel Aviv, and Moscow.",,
yes,yes,tie,TiE,11,,mediapartner,http://www.tiesv.org/,"is a non-profit network of entrepreneurs and professionals founded in Silicon Valley. TiE’s focus is on generating and nurturing our next generation of entrepreneurs through mentoring, networking, and education. There are currently more than 12,000 members and over 2,500 charter members in 53 chapters across 12 countries. In addition to its flagship event, TiEcon - the largest conference for entrepreneurs, TiE offers a wide range of programs including Special Interest Groups and TiE Institute. For more information, visit www.sv.tie.org",,
yes,yes,ubergizmo,Ubergizmo,12,,mediapartner,http://www.ubergizmo.com,"- launched in 2004, Ubergizmo has quickly become one of the top consumer electronics websites in the US. Ubergizmo is a Webby Award Honoree, has been ranked as a Top100 Blog by PCMagazine, ranks Top100 in Nielsen's Blogpulse and Technorati, and was featured in the Hot Site on USA Today.",,
yes,yes,vctaskforce,VC Taskforce,13,,mediapartner,http://www.vctaskforce.com/,"is the premier ""go-to"" organization for investors. We address the crucial issues and concerns in the venture community and produce workshops, roundtable meetings and panel events that provide tactical and strategic insights and information for both investors and portfolio companies. For more information, visit www.vctaskforce.com",,
yes,yes,amplidata,Amplidata,,,primetime,http://www.amplidata.com,,,
yes,yes,aspera,Aspera,,,primetime,http://www.asperasoft.com/,,,
yes,yes,aster,Aster Data,,,primetime,http://www.asterdata.com/,,,
yes,yes,avere,Avere Systems,,,primetime,http://www.averesystems.com,,,
yes,yes,ubuntu,Canonical,,,primetime,http://www.canonical.com,,,
yes,yes,cleversafe,Cleversafe,,,primetime,http://www.cleversafe.com,,,
yes,yes,datastax,DataStax,,,primetime,http://www.datastax.com,,,
yes,yes,etrade3,E*TRADE,,,primetime,https://us.etrade.com/e/t/jumppage/viewjumppage?PageName=IPO_overview,,,
yes,yes,lexisnexishpcc,LexisNexis,,,primetime,http://hpccsystems.com,,,
yes,yes,logicworks,Logicworks,,,primetime,http://www.logicworks.net,,,
yes,yes,marklogic,MarkLogic,,,primetime,http://www.marklogic.com,,,
yes,yes,neustar,Neustar,,,primetime,http://www.neustar.biz/,,,
yes,yes,oracle,Oracle,,,primetime,http://www.oracle.com,,,
yes,yes,platformcomputing,Platform Computing,,,primetime,http://www.platform.com,,,
yes,yes,rainstor,RainStor,,,primetime,http://www.rainstor.com,,,
yes,yes,softlayer,SoftLayer,,,primetime,http://www.softlayer.com/,,,
yes,yes,splunk,Splunk,,,primetime,http://www.splunk.com,,,
yes,yes,stackiq2,StackIQ,,,primetime,http://www.stackiq.com/,,,
yes,yes,sybase,Sybase,,,primetime,http://www.sybase.com,,,
yes,yes,turn,Turn,,,primetime,http://www.turn.com,,,
yes,yes,basho,Basho,,,reception,http://www.basho.com,,,
yes,yes,eventbrite,Eventbrite,,,registration,http://eventbrite.com/,,,
yes,yes,basho,Basho,,,showtime,http://www.basho.com,,,
yes,yes,batteryventures,Battery Ventures,,,showtime,http://www.batteryventures.com,,,
yes,yes,boundary,Boundary,,,showtime,http://www.boundary.com,,,
yes,yes,cloudera,Cloudera,,,showtime,http://www.cloudera.com,,,
yes,yes,dupont,DuPont Fabros Technology,,,showtime,http://www.dft.com,,,
yes,yes,hadapt,Hadapt,,,showtime,http://www.hadapt.com,,,
yes,yes,hortonworks,Hortonworks,,,showtime,http://www.hortonworks.com,,,
yes,yes,impetus,Impetus,,,showtime,http://www.impetus.com,,,
yes,yes,io,IO Data Centers,,,showtime,http://www.io.com,,,
yes,yes,kognitio,Kognitio,,,showtime,http://www.kognitio.com/,,,
yes,yes,mapr,MapR,,,showtime,http://www.mapr.com/,,,
yes,yes,metamarkets,Metamarkets,,,showtime,http://www.metamarkets.com,,,
yes,yes,netapp,NetApp,,,showtime,http://www.netapp.com,,,
yes,yes,nexenta,Nexenta,,,showtime,http://www.nexenta.com,,,
yes,yes,nvp,Norwest Venture Partners,,,showtime,http://www.nvp.com/,,,
yes,yes,panasas,Panasas,,,showtime,http://www.panasas.com,,,
yes,yes,skytree,Skytree,,,showtime,http://www.skytreecorp.com,,,
yes,yes,sqlstream,SQLstream,,,showtime,http://www.sqlstream.com,,,
yes,yes,sumologic,Sumo Logic,,,showtime,http://www.sumologic.com,,,
yes,yes,tableausoftware,Tableau Software,,,showtime,http://www.tableausoftware.com/,,,
yes,yes,zettaset,Zettaset,,,showtime,http://www.zettaset.com,,,
yes,yes,livestream,Livestream,,,streaming,http://livestream.com/,,,
yes,yes,omnibond,Omnibond,,,showtime,http://www.omnibond.com,,,
