Publish?,Logo Ready?,Slug,Name,Order,Tagline,Type,URL,Description,Media Partner URL
,,,,,,,,,http://event.gigaom.com/network/sponsors/media-partners/
yes,yes,magnify,Magnify Communications,,,management,http://www.magnifycom.com/,,
yes,yes,crowdsortium,Crowdsortium,1,,mediapartner,http://www.crowdsortium.org,"is a group of crowdsourcing practitioners who organized to advance the crowdsourcing industry through best practices, education, data collection and public dialog.  As the crowdsourcing industry evolves so do the problems.  The Crowdsortium is designed to use the very mechanism the industry is built upon – crowdsourcing – to solve these problems.",
yes,yes,parisoma,pariSoma,2,,mediapartner,http://www.pariSoma.com,"is a collaborative place for coworking and events in the SoMa district of San Francisco. We host events for entrepreneurs, startups and independent professionals while providing an innovative coworking space through which we seek to promote the growth of collective intelligence and innovation.",
yes,yes,techcentralsf,TechCentralSF,3,,mediapartner,http://www.techcentralsf.com/,"San Francisco’s exclusive online directory resource and collaborative community for High Tech, Biotech, and Cleantech with over 1,000 start-up companies and established innovators making breakthroughs across San Francisco. TechCentralSF is a B2B exchange to support entrepreneurs, startups & the SF tech ecosystem. Collaborate and find extraordinary business opportunities for “All Things Tech in SF”!",
yes,yes,tec2,Technology Evaluation Centers (TEC),4,,mediapartner,http://www.technologyevaluation.com/," helps organizations choose the best enterprise software solutions for their unique needs—quickly and cost effectively. With detailed information on over 1,000 solutions in the world’s largest vendor database, TEC delivers a broad range of evaluation and selection resources to help ensure successful software selection projects.",
yes,yes,tie,TiE,5,,mediapartner,http://www.tiesv.org/,"is a non-profit network of entrepreneurs and professionals founded in Silicon Valley. TiE’s focus is on generating and nurturing our next generation of entrepreneurs through mentoring, networking, and education. There are currently more than 12,000 members and over 2,500 charter members in 53 chapters across 12 countries. In addition to its flagship event, TiEcon - the largest conference for entrepreneurs, TiE offers a wide range of programs including Special Interest Groups and TiE Institute. For more information, visit www.sv.tie.org",
yes,yes,ubergizmo,Ubergizmo,6,,mediapartner,http://www.ubergizmo.com/,"- Launched in 2004, Ubergizmo has quickly become one of the top consumer electronics websites in the US. Ubergizmo is a Webby Award Honoree, has been ranked as a Top100 Blog by PCMagazine, ranks Top100  in Nielsen's Blogpulse and Technorati, and was featured in the Hot Site on USA Today. For more information, visit www.ubergizmo.com",
yes,yes,vctaskforce,VC Taskforce,7,,mediapartner,http://www.vctaskforce.com/,"is the premier ""go-to"" organization for investors. We address the crucial issues and concerns in the venture community and produce workshops, roundtable meetings and panel events that provide tactical and strategic insights and information for both investors and portfolio companies. For more information, visit www.vctaskforce.com",
yes,yes,vlab,MIT/Stanford Venture Lab (VLAB),8,,mediapartner,http://www.vlab.org/,"is a non-profit organization promoting the growth and success of high-tech entrepreneurial ventures by connecting ideas, technology and people. We provide a forum for entrepreneurs, industry experts, venture capitalists, private investors and technologists to exchange insights about how to effectively grow high-tech ventures amidst dynamic challenges. For more information, visit www.vlab.org",
yes,yes,eventbrite,Eventbrite,,,registration,http://eventbrite.com/,,
yes,yes,livestream,Livestream,,,streaming,http://livestream.com/,,
yes,yes,gistblackberry,Gist,,,primetime,http://www.gist.com,,
yes,yes,alfresco,Alfresco Software,,,headline,http://www.alfresco.com,,
yes,yes,meshin,Meshin,,,showtime,http://www.meshin.com,,
yes,yes,box,Box,,,showtime,http://www.box.net,,
yes,yes,mbopartners,MBO Partners,,,primetime,http://www.mbopartners.com,,
yes,yes,quickoffice,Quickoffice,,,showtime,http://www.quickoffice.com,,
yes,yes,kornferry,Korn Ferry International,,,primetime,http://www.kornferry.com/,,
yes,yes,citrixonline,Citrix Online,,,showtime,http://www.citrixonline.com,,
yes,yes,moxiesoftware,Moxie Software,,,showtime,http://www.moxiesoft.com,,
yes,yes,soonr,Soonr,,,showtime,http://www.soonr.com,,
yes,yes,igloosoftware,Igloo Software,,,showtime,http://www.igloosoftware.com,,
yes,yes,landrover,Land Rover,,,showtime,http://www.landroverusa.com,,
yes,yes,utest,uTest,,,primetime,http://www.utest.com,,
yes,yes,harqen,HarQen,,,showtime,http://www.harqen.com,,
yes,yes,whodini,Whodini,,,showtime,http://www.whodini.com,,
yes,yes,mangoapps,MangoApps,,,showtime,http://www.mangoapps.com,,
yes,yes,aspera,Aspera,,,showtime,http://www.asperasoft.com/,,
yes,yes,liquidspace,LiquidSpace,,,primetime,http://www.liquidspace.com,,
