Publish?,Logo Ready?,Slug,Name,Order,Tagline,Type,URL,Description,Media Partner URL
,,,,,,,,,http://event.gigaom.com/mobilize/sponsors/media-partners/
yes,yes,netbiscuits,Netbiscuits,,,headline,http://www.netbiscuits.com,,
yes,yes,ada,Application Developers Alliance ,,,partners,http://appdevelopersalliance.org,,
yes,yes,cicc,CICC,,,partners,http://www.ca-israelchamber.org/,,
yes,yes,eventbrite,Eventbrite,,,partners,http://eventbrite.com/,,
yes,yes,evvnt,evvnt,,,partners,http://evvnt.com/,,
yes,yes,livestream,Livestream,,,partners,http://livestream.com/,,
yes,yes,magnify,Magnify Communications,,,partners,http://www.magnifycommunications.com/,,
yes,yes,preapps,PreApps,,,partners,http://www.preapps.com/,,
yes,yes,stainedglass,Stained Glass Labs,,,partners,http://stainedglasslabs.com/,,
yes,yes,transcribeme,TranscribeMe,,,partners,http://www.transcribeme.com,,
yes,yes,upwestlabs,Upwest Labs ,,,partners,http://www.upwestlabs.com,,
yes,yes,vctaskforce,VCTaskforce,,,partners,http://www.vctaskforce.com/,,
yes,yes,wip,WIP,,,partners,http://www.wipconnector.com,,
yes,yes,accellion,Accellion,,,primetime,http://www.accellion.com,,
yes,yes,arcsoft,Arcsoft,,,primetime,http://www.arcsoft.com,,
yes,yes,carriots,Carriots,,,primetime,http://www.carriots.com,,
yes,yes,citrix,Citrix,,,primetime,http://www.citrix.com,,
yes,yes,ericsson,Ericsson,,,primetime,http://www.ericsson.com,,
yes,yes,hp,HP,,,primetime,http://www.hp.com,,
yes,yes,intel,Intel,,,primetime,http://www.intel.com,,
yes,yes,qualcomm,Qualcomm,,,primetime,http://www.qualcomm.com,,
yes,yes,salesforce,salesforce,,,primetime,http://www.salesforce.com,,
yes,yes,synchronoss,Synchronoss,,,primetime,http://www.synchronoss.com/,,
yes,yes,xively,Xively,,,primetime,http://www.xively.com,,
yes,yes,yp,YP,,,primetime,http://www.yp.com,,
yes,yes,hp,HP,,,reception,http://www.hp.com,,
yes,yes,salesforce1,salesforce,,,reception,http://www.salesforce.com,,
yes,yes,airwatch,AirWatch,,,showtime,http://www.air-watch.com,,
yes,yes,arrayent,Arrayent,,,showtime,http://www.arrayent.com,,
yes,yes,axeda,Axeda,,,showtime,http://www.axeda.com,,
yes,yes,dice,Dice,,,showtime,http://www.dice.com/,,
yes,yes,ezuce,eZuce,,,showtime,http://www.ezuce.com,,
yes,yes,mobilefuture,Mobile Future,,,showtime,http://www.mobilefuture.org,,
yes,yes,raco,Raco Wireless,,,showtime,http://www.racowireless.com,,
yes,yes,revolv,Revolv,,,showtime,http://www.revolv.com,,
yes,yes,zonoff,Zonoff,,,showtime,http://www.zonoff.com,,
yes,yes,onug,ONUG,,,partners,http://opennetworkingusergroup.com,,
yes,yes,failcon,FailCon,,,partners,http://thefailcon.com,,
yes,yes,baypay,BayPay Forum,,,partners,http://www.baypayforum.com,,
yes,yes,voxer,Voxer,,,showtime,http://www.voxer.com,,
yes,yes,apperian,Apperian,,,showtime,http://www.apperian.com,,
yes,yes,bluetooth,Bluetooth,,,showtime,http://www.bluetooth.com,,
yes,yes,mef,MEF,,,partners,http://mefglobalforum.org/,,
yes,yes,framehawk,Framehawk,,,showtime,http://www.framehawk.com,,
